Широта;Долгота;Склонение
N09;E003;-4,8
N10;E003;-4,6
N11;E003;-4,4
N12;E003;-4,2
N13;E003;-4
N14;E003;-3,8
N15;E003;-3,6
N16;E003;-3,5
N17;E003;-3,3
N18;E003;-3,2
N19;E003;-3,1
N20;E003;-3
N21;E003;-2,9
N22;E003;-2,8
N23;E003;-2,7
N24;E003;-2,6
N25;E003;-2,5
N26;E003;-2,5
N27;E003;-2,4
N28;E003;-2,4
N29;E003;-2,3
N30;E003;-2,3
N31;E003;-2,3
N32;E003;-2,2
N33;E003;-2,2
N34;E003;-2,2
N35;E003;-2,2
N36;E003;-2,2
N37;E003;-2,3
N38;E003;-2,3
N39;E003;-2,3
N40;E003;-2,4
N41;E003;-2,4
N42;E003;-2,5
N43;E003;-2,5
N44;E003;-2,6
N45;E003;-2,7
N46;E003;-2,8
N47;E003;-2,9
N48;E003;-3
N49;E003;-3,2
N50;E003;-3,3
N51;E003;-3,4
N52;E003;-3,6
N53;E003;-3,8
N54;E003;-3,9
N55;E003;-4,1
N56;E003;-4,3
N57;E003;-4,5
N58;E003;-4,7
N59;E003;-4,9
N60;E003;-5,1
N61;E003;-5,4
N62;E003;-5,6
N63;E003;-5,8
N64;E003;-6
N65;E003;-6,2
N66;E003;-6,5
N67;E003;-6,7
N68;E003;-6,9
N69;E003;-7,1
N70;E003;-7,3
N71;E003;-7,5
N72;E003;-7,7
N73;E003;-8
N74;E003;-8,2
N75;E003;-8,4
N76;E003;-8,7
N77;E003;-9
N78;E003;-9,3
N79;E003;-9,6
N80;E003;-10
N81;E003;-10,5
N82;E003;-11,1
N83;E003;-11,8
N84;E003;-12,6
N85;E003;-13,7
N86;E003;-15,2
N87;E003;-17,1
N88;E003;-19,8
N89;E003;-23,7
N90;E003;-29,5
S90;E004;-31,5
S89;E004;-30,3
S88;E004;-29,3
S87;E004;-28,4
S86;E004;-27,6
S85;E004;-26,8
S84;E004;-26,1
S83;E004;-25,5
S82;E004;-24,9
S81;E004;-24,4
S80;E004;-24
S79;E004;-23,6
S78;E004;-23,2
S77;E004;-22,9
S76;E004;-22,6
S75;E004;-22,4
S74;E004;-22,1
S73;E004;-21,9
S72;E004;-21,8
S71;E004;-21,6
S70;E004;-21,5
S69;E004;-21,4
S68;E004;-21,4
S67;E004;-21,3
S66;E004;-21,3
S65;E004;-21,3
S64;E004;-21,3
S63;E004;-21,3
S62;E004;-21,4
S61;E004;-21,4
S60;E004;-21,5
S59;E004;-21,6
S58;E004;-21,7
S57;E004;-21,8
S56;E004;-21,9
S55;E004;-22,1
S54;E004;-22,2
S53;E004;-22,4
S52;E004;-22,6
S51;E004;-22,7
S50;E004;-22,9
S49;E004;-23,1
S48;E004;-23,3
S47;E004;-23,6
S46;E004;-23,8
S45;E004;-24
S44;E004;-24,2
S43;E004;-24,4
S42;E004;-24,6
S41;E004;-24,7
S40;E004;-24,9
S39;E004;-25
S38;E004;-25,1
S37;E004;-25,1
S36;E004;-25,1
S35;E004;-25,1
S34;E004;-25,1
S33;E004;-24,9
S32;E004;-24,8
S31;E004;-24,5
S30;E004;-24,3
S29;E004;-23,9
S28;E004;-23,6
S27;E004;-23,1
S26;E004;-22,7
S25;E004;-22,2
S24;E004;-21,6
S23;E004;-21
S22;E004;-20,4
S21;E004;-19,8
S20;E004;-19,2
S19;E004;-18,5
S18;E004;-17,8
S17;E004;-17,1
S16;E004;-16,5
S15;E004;-15,8
S14;E004;-15,1
S13;E004;-14,4
S12;E004;-13,8
S11;E004;-13,2
S10;E004;-12,5
S09;E004;-11,9
S08;E004;-11,3
S07;E004;-10,8
S06;E004;-10,2
S05;E004;-9,7
S04;E004;-9,2
S03;E004;-8,7
S02;E004;-8,3
S01;E004;-7,8
N00;E004;-7,4
N01;E004;-7
N02;E004;-6,7
N03;E004;-6,3
N04;E004;-6
N05;E004;-5,7
N06;E004;-5,4
N07;E004;-5,1
N08;E004;-4,8
N09;E004;-4,6
N10;E004;-4,3
N11;E004;-4,1
N12;E004;-3,9
N13;E004;-3,7
N14;E004;-3,5
N15;E004;-3,4
N16;E004;-3,2
N17;E004;-3,1
N18;E004;-3
N19;E004;-2,8
N20;E004;-2,7
N21;E004;-2,6
N22;E004;-2,5
N23;E004;-2,4
N24;E004;-2,4
N25;E004;-2,3
N26;E004;-2,2
N27;E004;-2,2
N28;E004;-2,1
N29;E004;-2,1
N30;E004;-2
N31;E004;-2
N32;E004;-2
N33;E004;-2
N34;E004;-2
N35;E004;-1,9
N36;E004;-2
N37;E004;-2
N38;E004;-2
N39;E004;-2
N40;E004;-2
N41;E004;-2,1
N42;E004;-2,1
N43;E004;-2,2
N44;E004;-2,3
N45;E004;-2,4
N46;E004;-2,4
N47;E004;-2,5
N48;E004;-2,7
N49;E004;-2,8
N50;E004;-2,9
N51;E004;-3
N52;E004;-3,2
N53;E004;-3,3
N54;E004;-3,5
N55;E004;-3,7
N56;E004;-3,9
N57;E004;-4
N58;E004;-4,2
N59;E004;-4,4
N60;E004;-4,6
N61;E004;-4,8
N62;E004;-5
N63;E004;-5,2
N64;E004;-5,4
N65;E004;-5,6
N66;E004;-5,8
N67;E004;-6
N68;E004;-6,2
N69;E004;-6,4
N70;E004;-6,6
N71;E004;-6,8
N72;E004;-7
N73;E004;-7,2
N74;E004;-7,4
N75;E004;-7,6
N76;E004;-7,9
N77;E004;-8,1
N78;E004;-8,4
N79;E004;-8,8
N80;E004;-9,2
N81;E004;-9,6
N82;E004;-10,2
N83;E004;-10,9
N84;E004;-11,7
N85;E004;-12,8
N86;E004;-14,3
N87;E004;-16,2
N88;E004;-18,8
N89;E004;-22,7
N90;E004;-28,5
S90;E005;-32,5
S89;E005;-31,3
S88;E005;-30,3
S87;E005;-29,3
S86;E005;-28,5
S85;E005;-27,7
S84;E005;-27
S83;E005;-26,4
S82;E005;-25,8
S81;E005;-25,3
S80;E005;-24,8
S79;E005;-24,4
S78;E005;-24
S77;E005;-23,6
S76;E005;-23,3
S75;E005;-23,1
S74;E005;-22,8
S73;E005;-22,6
S72;E005;-22,5
S71;E005;-22,3
S70;E005;-22,2
S69;E005;-22,1
S68;E005;-22
S67;E005;-21,9
S66;E005;-21,9
S65;E005;-21,9
S64;E005;-21,9
S63;E005;-21,9
S62;E005;-21,9
S61;E005;-21,9
S60;E005;-22
S59;E005;-22,1
S58;E005;-22,1
S57;E005;-22,2
S56;E005;-22,3
S55;E005;-22,5
S54;E005;-22,6
S53;E005;-22,7
S52;E005;-22,9
S51;E005;-23
S50;E005;-23,2
S49;E005;-23,4
S48;E005;-23,6
S47;E005;-23,8
S46;E005;-23,9
S45;E005;-24,1
S44;E005;-24,3
S43;E005;-24,5
S42;E005;-24,6
S41;E005;-24,7
S40;E005;-24,9
S39;E005;-25
S38;E005;-25
S37;E005;-25
S36;E005;-25
S35;E005;-25
S34;E005;-24,9
S33;E005;-24,7
S32;E005;-24,6
S31;E005;-24,3
S30;E005;-24
S29;E005;-23,7
S28;E005;-23,3
S27;E005;-22,8
S26;E005;-22,3
S25;E005;-21,8
S24;E005;-21,3
S23;E005;-20,7
S22;E005;-20
S21;E005;-19,4
S20;E005;-18,7
S19;E005;-18,1
S18;E005;-17,4
S17;E005;-16,7
S16;E005;-16
S15;E005;-15,4
S14;E005;-14,7
S13;E005;-14
S12;E005;-13,4
S11;E005;-12,8
S10;E005;-12,1
S09;E005;-11,5
S08;E005;-11
S07;E005;-10,4
S06;E005;-9,9
S05;E005;-9,4
S04;E005;-8,9
S03;E005;-8,4
S02;E005;-7,9
S01;E005;-7,5
N00;E005;-7,1
N01;E005;-6,7
N02;E005;-6,4
N03;E005;-6
N04;E005;-5,7
N05;E005;-5,4
N06;E005;-5,1
N07;E005;-4,8
N08;E005;-4,5
N09;E005;-4,3
N10;E005;-4,1
N11;E005;-3,9
N12;E005;-3,7
N13;E005;-3,5
N14;E005;-3,3
N15;E005;-3,1
N16;E005;-3
N17;E005;-2,8
N18;E005;-2,7
N19;E005;-2,6
N20;E005;-2,5
N21;E005;-2,4
N22;E005;-2,3
N23;E005;-2,2
N24;E005;-2,1
N25;E005;-2
N26;E005;-2
N27;E005;-1,9
N28;E005;-1,9
N29;E005;-1,8
N30;E005;-1,8
